example_num_col,Section,Time_in_0.5_day_intervals,Price_30.5_days_back,Price_30.0_days_back,Price_29.5_days_back,Price_29.0_days_back,Price_28.5_days_back,Price_28.0_days_back,Price_27.5_days_back,Price_27.0_days_back,Price_26.5_days_back,Price_26.0_days_back,Price_25.5_days_back,Price_25.0_days_back,Price_24.5_days_back,Price_24.0_days_back,Price_23.5_days_back,Price_23.0_days_back,Price_22.5_days_back,Price_22.0_days_back,Price_21.5_days_back,Price_21.0_days_back,Price_20.5_days_back,Price_20.0_days_back,Price_19.5_days_back,Price_19.0_days_back,Price_18.5_days_back,Price_18.0_days_back,Price_17.5_days_back,Price_17.0_days_back,Price_16.5_days_back,Price_16.0_days_back,Price_15.5_days_back,Price_15.0_days_back,Price_14.5_days_back,Price_14.0_days_back,Price_13.5_days_back,Price_13.0_days_back,Price_12.5_days_back,Price_12.0_days_back,Price_11.5_days_back,Price_11.0_days_back,Price_10.5_days_back,Price_10.0_days_back,Price_9.5_days_back,Price_9.0_days_back,Price_8.5_days_back,Price_8.0_days_back,Price_7.5_days_back,Price_7.0_days_back,Price_6.5_days_back,Price_6.0_days_back,Price_5.5_days_back,Price_5.0_days_back,Price_4.5_days_back,Price_4.0_days_back,Price_3.5_days_back,Price_3.0_days_back,Price_2.5_days_back,Price_2.0_days_back,Price_1.5_days_back,Price_1.0_days_back,Price_0.5_days_back
0,181979.0,0.0,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.97780585099997,387.86410904300004,387.577904335,387.05084487199997,386.24446712800005,385.45797163699996,384.835195155,384.00663803599997,382.782931407,381.41461751,380.03070309599997,379.085486353,378.816931549,378.784604422,378.768743384
1,181979.0,1.0,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.97780585099997,387.86410904300004,387.577904335,387.05084487199997,386.24446712800005,385.45797163699996,384.835195155,384.00663803599997,382.782931407,381.41461751,380.03070309599997,379.085486353,378.816931549,378.784604422,378.768743384,378.35817157599996
2,181979.0,2.0,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.97780585099997,387.86410904300004,387.577904335,387.05084487199997,386.24446712800005,385.45797163699996,384.835195155,384.00663803599997,382.782931407,381.41461751,380.03070309599997,379.085486353,378.816931549,378.784604422,378.768743384,378.35817157599996,377.336913819
3,181979.0,3.0,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.97780585099997,387.86410904300004,387.577904335,387.05084487199997,386.24446712800005,385.45797163699996,384.835195155,384.00663803599997,382.782931407,381.41461751,380.03070309599997,379.085486353,378.816931549,378.784604422,378.768743384,378.35817157599996,377.336913819,376.06889520199996
4,181979.0,4.0,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.97780585099997,387.86410904300004,387.577904335,387.05084487199997,386.24446712800005,385.45797163699996,384.835195155,384.00663803599997,382.782931407,381.41461751,380.03070309599997,379.085486353,378.816931549,378.784604422,378.768743384,378.35817157599996,377.336913819,376.06889520199996,374.73515763800003
5,181979.0,5.0,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.97780585099997,387.86410904300004,387.577904335,387.05084487199997,386.24446712800005,385.45797163699996,384.835195155,384.00663803599997,382.782931407,381.41461751,380.03070309599997,379.085486353,378.816931549,378.784604422,378.768743384,378.35817157599996,377.336913819,376.06889520199996,374.73515763800003,373.75616531800006
6,181979.0,6.0,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.97780585099997,387.86410904300004,387.577904335,387.05084487199997,386.24446712800005,385.45797163699996,384.835195155,384.00663803599997,382.782931407,381.41461751,380.03070309599997,379.085486353,378.816931549,378.784604422,378.768743384,378.35817157599996,377.336913819,376.06889520199996,374.73515763800003,373.75616531800006,373.338092271
7,181979.0,7.0,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.97780585099997,387.86410904300004,387.577904335,387.05084487199997,386.24446712800005,385.45797163699996,384.835195155,384.00663803599997,382.782931407,381.41461751,380.03070309599997,379.085486353,378.816931549,378.784604422,378.768743384,378.35817157599996,377.336913819,376.06889520199996,374.73515763800003,373.75616531800006,373.338092271,372.479696873
8,181979.0,8.0,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.97780585099997,387.86410904300004,387.577904335,387.05084487199997,386.24446712800005,385.45797163699996,384.835195155,384.00663803599997,382.782931407,381.41461751,380.03070309599997,379.085486353,378.816931549,378.784604422,378.768743384,378.35817157599996,377.336913819,376.06889520199996,374.73515763800003,373.75616531800006,373.338092271,372.479696873,370.66185486300003
9,181979.0,9.0,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.98,387.97780585099997,387.86410904300004,387.577904335,387.05084487199997,386.24446712800005,385.45797163699996,384.835195155,384.00663803599997,382.782931407,381.41461751,380.03070309599997,379.085486353,378.816931549,378.784604422,378.768743384,378.35817157599996,377.336913819,376.06889520199996,374.73515763800003,373.75616531800006,373.338092271,372.479696873,370.66185486300003,368.01996508199994
